ID,questionnaire,order,condition,score,statement,truthfulness,accent,speaker_sex,statement_guess,L1
1,F1,1,1,82,4,notknown,Italian,f,guessed,French
2,F1,1,1,81,4,notknown,Italian,f,guessed,French
3,F1,1,1,81,4,notknown,Italian,f,guessed,French
4,F1,1,1,87,4,notknown,Italian,f,guessed,French
5,F1,1,1,100,4,notknown,Italian,f,guessed,French
6,F1,1,1,55,4,notknown,Italian,f,guessed,French
7,F1,1,1,47,4,notknown,Italian,f,guessed,French
8,F1,1,1,76,4,notknown,Italian,f,guessed,French
9,F1,1,1,100,4,notknown,Italian,f,guessed,French
10,F1,1,1,80,4,notknown,Italian,f,guessed,French
12,F1,1,1,92,4,notknown,Italian,f,guessed,French
13,F1,1,1,78,4,notknown,Italian,f,guessed,French
14,F1,1,1,61,4,notknown,Italian,f,guessed,French
15,F1,1,1,51,4,notknown,Italian,f,guessed,French
16,F1,1,1,10,4,notknown,Italian,f,guessed,French
17,F1,1,1,69,4,notknown,Italian,f,guessed,French
19,F1,1,1,87,4,notknown,Italian,f,guessed,French
20,F1,1,1,18,4,notknown,Italian,f,guessed,French
21,F1,1,1,100,4,known_true,Italian,f,known,French
22,F1,1,1,90,4,notknown,Italian,f,guessed,French
23,F1,1,1,26,4,notknown,Italian,f,guessed,French
24,F1,1,1,75,4,notknown,Italian,f,guessed,French
25,F1,1,1,24,4,notknown,Italian,f,guessed,French
26,F1,1,1,100,4,notknown,Italian,f,guessed,French
27,F1,1,1,93,4,notknown,Italian,f,guessed,French
28,F1,1,1,56,4,notknown,Italian,f,guessed,French
29,F1,1,1,50,4,notknown,Italian,f,guessed,French
30,F1,1,1,31,4,notknown,Italian,f,guessed,French
31,F1,1,1,21,4,notknown,Italian,f,guessed,French
32,F1,1,1,100,4,notknown,Italian,f,guessed,French
33,F1,1,1,0,4,notknown,Italian,f,guessed,French
34,F2,1,2,25,4,notknown,English,f,guessed,French
35,F2,1,2,100,4,notknown,English,f,guessed,French
36,F2,1,2,24,4,notknown,English,f,guessed,French
37,F2,1,2,20,4,notknown,English,f,guessed,French
39,F2,1,2,100,4,notknown,English,f,guessed,French
40,F2,1,2,100,4,notknown,English,f,guessed,French
41,F2,1,2,80,4,notknown,English,f,guessed,French
42,F2,1,2,21,4,notknown,English,f,guessed,French
43,F2,1,2,97,4,notknown,English,f,guessed,French
44,F2,1,2,55,4,notknown,English,f,guessed,French
45,F2,1,2,69,4,notknown,English,f,guessed,French
46,F2,1,2,100,4,known_true,English,f,known,French
47,F2,1,2,11,4,notknown,English,f,guessed,French
48,F2,1,2,70,4,notknown,English,f,guessed,French
49,F2,1,2,80,4,notknown,English,f,guessed,French
50,F2,1,2,100,4,known_true,English,f,known,French
51,F2,1,2,100,4,known_true,English,f,known,French
52,F2,1,2,100,4,notknown,English,f,guessed,French
53,F2,1,2,47,4,notknown,English,f,guessed,French
54,F2,1,2,14,4,notknown,English,f,guessed,French
55,F2,1,2,14,4,notknown,English,f,guessed,French
56,F3,1,3,0,4,notknown,French,f,guessed,French
57,F3,1,3,100,4,notknown,French,f,guessed,French
58,F3,1,3,2,4,notknown,French,f,guessed,French
59,F3,1,3,63,4,notknown,French,f,guessed,French
60,F3,1,3,92,4,notknown,French,f,guessed,French
61,F3,1,3,81,4,notknown,French,f,guessed,French
62,F3,1,3,82,4,notknown,French,f,guessed,French
63,F3,1,3,25,4,notknown,French,f,guessed,French
65,F3,1,3,68,4,notknown,French,f,guessed,French
66,F3,1,3,0,4,notknown,French,f,guessed,French
69,F3,1,3,0,4,notknown,French,f,guessed,French
70,F3,1,3,100,4,known_true,French,f,known,French
71,F3,1,3,71,4,notknown,French,f,guessed,French
72,F3,1,3,100,4,known_true,French,f,known,French
73,F3,1,3,86,4,notknown,French,f,guessed,French
75,F3,1,3,45,4,notknown,French,f,guessed,French
76,F3,1,3,74,4,notknown,French,f,guessed,French
78,F3,1,3,100,4,notknown,French,f,guessed,French
79,F3,1,3,88,4,known_true,French,f,known,French
80,F3,1,3,75,4,notknown,French,f,guessed,French
81,F3,1,3,21,4,notknown,French,f,guessed,French
82,F3,1,3,76,4,notknown,French,f,guessed,French
83,F3,1,3,88,4,notknown,French,f,guessed,French
84,F3,1,3,100,4,notknown,French,f,guessed,French
86,F4,1,4,94,4,notknown,German,f,guessed,French
88,F4,1,4,71,4,notknown,German,f,guessed,French
89,F4,1,4,100,4,notknown,German,f,guessed,French
90,F4,1,4,71,4,notknown,German,f,guessed,French
92,F4,1,4,71,4,notknown,German,f,guessed,French
93,F4,1,4,0,4,known_false,German,f,known,French
94,F4,1,4,70,4,notknown,German,f,guessed,French
95,F4,1,4,61,4,notknown,German,f,guessed,French
96,F4,1,4,7,4,notknown,German,f,guessed,French
97,F4,1,4,50,4,notknown,German,f,guessed,French
98,F4,1,4,0,4,notknown,German,f,guessed,French
99,F4,1,4,19,4,notknown,German,f,guessed,French
100,F4,1,4,0,4,notknown,German,f,guessed,French
101,F4,1,4,62,4,notknown,German,f,guessed,French
102,F4,1,4,100,4,known_true,German,f,known,French
103,F4,1,4,39,4,notknown,German,f,guessed,French
104,F4,1,4,100,4,notknown,German,f,guessed,French
105,F4,1,4,23,4,notknown,German,f,guessed,French
106,F4,1,4,85,4,notknown,German,f,guessed,French
107,F4,1,4,91,4,notknown,German,f,guessed,French
