"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"FrenchTexts/A/AA_PLF_10_narr_F_C_1.txt",4.66666666666667,6,"AA",FALSE,"10","narr","F","1"
"FrenchTexts/A/AA_PLF_7_narr_F_C_2.txt",4.83333333333333,6,"AA",FALSE,"7","narr","F","2"
"FrenchTexts/A/AD_PLF_14_narr_F_C_3.txt",3.83333333333333,6,"AD",FALSE,"14","narr","F","3"
"FrenchTexts/A/AD_PLF_19_arg_F_C_2.txt",5.16666666666667,6,"AD",FALSE,"19","arg","F","2"
"FrenchTexts/A/AD_PLF_20_arg_F_C_3.txt",4.5,6,"AD",FALSE,"20","arg","F","3"
"FrenchTexts/A/AD_PLF_20_narr_F_C_3.txt",4.83333333333333,6,"AD",FALSE,"20","narr","F","3"
"FrenchTexts/A/AD_PLF_21_arg_F_C_3.txt",6.16666666666667,6,"AD",FALSE,"21","arg","F","3"
"FrenchTexts/A/AD_PLF_8_arg_F_C_2.txt",4.83333333333333,6,"AD",FALSE,"8","arg","F","2"
"FrenchTexts/A/AE_PLF_1_arg_F_C_2.txt",4.83333333333333,6,"AE",FALSE,"1","arg","F","2"
"FrenchTexts/A/A_PLF_10_narr_F_C_1.txt",4,6,"A",FALSE,"10","narr","F","1"
"FrenchTexts/A/A_PLF_13_arg_F_C_1.txt",5.83333333333333,6,"A",FALSE,"13","arg","F","1"
"FrenchTexts/A/A_PLF_16_narr_F_C_2.txt",6.16666666666667,6,"A",FALSE,"16","narr","F","2"
"FrenchTexts/A/A_PLF_17_narr_F_C_3.txt",5.5,6,"A",FALSE,"17","narr","F","3"
"FrenchTexts/A/A_PLF_1_arg_F_C_3.txt",4.66666666666667,6,"A",FALSE,"1","arg","F","3"
"FrenchTexts/A/A_PLF_6_narr_F_C_2.txt",3.66666666666667,6,"A",FALSE,"6","narr","F","2"
"FrenchTexts/A/C_PLF_16_arg_F_C_1.txt",6,6,"C",FALSE,"16","arg","F","1"
"FrenchTexts/A/D_PLF_9_arg_F_C_1.txt",7.16666666666667,6,"D",FALSE,"9","arg","F","1"
"FrenchTexts/A/P_CF_12_arg_F_C_3.txt",5.83333333333333,6,"P",TRUE,"12","arg","F","3"
