Subject,Spoken,Written,Sex,Age,NrLang,BWDS,WST,Raven,English
64,23,25,female,27,4,7,34,28,2.3939725447
78,19,20,female,47,3,8,33,26,-0.0313543009
134,24,12,male,33,3,6,32,24,-0.4751090192
230,12,26,male,84,4,7,37,20,0.4914675722
288,12,9,male,28,4,9,35,24,1.7436645724
326,20,24,female,32,3,6,35,19,0.6393858116
447,22,25,female,53,3,8,34,16,0.2058471635
527,9,15,male,71,2,8,34,15,1.1519916146
545,19,14,female,16,3,4,29,21,-0.5337440337
550,22,24,female,52,3,5,35,15,-0.2379075549
552,17,18,female,56,3,6,36,24,0.2746982481
675,20,22,male,30,3,7,29,23,0.0477128539
717,18,18,female,15,2,6,29,21,-0.6025951184
776,13,10,female,40,2,6,29,11,-3.8261481756
1034,19,20,female,51,3,6,32,23,-1.7655088936
1076,20,15,male,14,2,9,30,32,-0.8984315973
1232,20,16,male,24,4,5,32,8,0.9352222905
1264,9,6,male,12,1,5,17,19,-2.8800037245
1312,2,16,male,77,2,6,32,2,-3.3135423727
1350,18,26,male,43,4,10,38,31,1.6645974176
1401,20,22,male,59,4,10,38,21,1.9502178263
1404,20,19,female,23,3,6,29,27,0.1267800087
1570,23,17,male,29,4,6,36,19,0.090944766
1644,21,24,female,45,3,6,34,19,0.6393858116
1668,21,30,female,37,3,6,35,21,1.6543813475
1830,13,6,male,15,3,5,18,5,-1.0463498367
1897,17,23,male,33,5,5,31,16,0.2058471635
1936,22,23,male,60,4,7,36,24,2.2460543052
1967,15,14,male,72,1,5,31.2916936068,3,-3.0279219639
1976,11,13,male,11,1,3,15,18,-3.451244542
2151,13,15,female,26,4,11,32,28,0.9250062204
2196,10,21,female,67,4,6,35,22,1.2999098541
2271,20,24,female,26,4,8,35,28,2.6107418687
2285,26,27,male,51,2,7,34,32,1.2208426993
2290,7,21,male,58,2,5,36,0,0.6496018818
2384,17,19,female,27,2,7,36,22,1.2999098541
2493,16,17,male,16,2,4,22,18,-0.2379075549
2654,18,10,female,41,2,6,33,15,-0.8193644425
2795,4,16,female,70,2,7,37,7,-3.6093788516
2846,6,3,female,11,3,6,4,15,-3.8261481756
2909,6,10,male,58,2,8,34,9,-2.3469657813
3071,18,18,female,48,3,7,26,24,0.1165639385
3121,11,11,female,15,2,5,20,22,0.9352222905
3125,8,9,male,12,1,4,20,15,-2.4362490062
3172,14,12,male,16,2,8,23,17,-1.7655088936
3204,17,15,female,15,2,9,25,23,-0.0899893154
3270,15,17,female,36,5,9,36,17,2.3939725447
3357,13,6,female,44,3,5,34,18,0.5603186569
3434,17,26,female,37,3,3,37,17,1.7436645724
3454,15,11,male,10,2,5,23,9,-3.2242591478
3494,20,24,female,46,4,5,32,22,0.1854150232
3558,9,3,male,10,2,3,4,14,-3.451244542
3566,18,24,female,29,3,10,34,19,1.7436645724
3691,21,22,female,59,3,8,35,18,1.7334485022
3704,20,29,male,72,4,5,35,26,2.0292849811
3836,18,14,female,66,4,9,35,20,0.1956310933
3843,20,19,male,70,4,5,34,17,-2.9590708793
3859,24,29,female,24,5,9,35,21,2.7586601082
3914,12,8,female,11,3,6,12,11,-4.6830094019
4137,19,27,female,60,4,5,34,7,0.7873040511
4155,22,23,female,33,4,6,35,27,2.4628236293
4181,16,15,female,74,4,5,36,0,1.2896937839
4274,16,27,male,70,3,9,38,18,0.7286690366
4369,22,28,female,41,4,10,34,29,0.7873040511
4420,12,7,female,47,2,5,29,7,-0.0211382308
4432,16,20,female,16,3,6,29,18,0.7082368963
4566,13,13,female,11,3,6,17,15,-3.3033263025
4650,17,30,female,48,4,8,41,21,2.1772032206
4675,10,13,male,71,2,6,33,3,-1.8547921185
4854,8,24,male,86,3,7,34,8,-3.3135423727
4932,19,21,female,16,2,8,32,19,0.1267800087
5153,25,28,female,51,3,6,37,18,1.3789770088
5180,14,24,male,65,5,6,38,11,1.0729244598
5277,16,15,male,27,3,7,29,29,-0.8673106478
5290,5,5,female,10,2,6,20,4,-3.2344752179
5362,19,26,male,33,3,4,35,20,2.6107418687
5449,23,24,female,32,2,6,34,27,2.1772032206
5491,24,33,female,41,3,7,35,32,2.5418907841
5566,22,28,female,42,4,4,32,6,0.5603186569
5584,22,24,female,30,4,9,37,29,1.8813667417
5621,19,26,female,30,5,7,33,26,2.2460543052
5731,21,24,female,76,3,6,38,16,2.2460543052
5755,20,19,male,16,4,6,36,29,1.6645974176
5885,20,20,male,62,2,8,37,13,1.506463108
5901,21,22,male,15,2,6,30,23,0.7873040511
5916,16,16,female,11,2,9,6,29,-1.7757249638
5997,16,29,female,33,4,8,37,23,2.2460543052
6039,18,18,female,59,3,8,31,3,-1.1942680761
6131,26,18,female,46,3,8,37,9,-1.6175906542
6150,19,22,male,63,4,6,36,18,0.5603186569
6164,10,8,male,10,1,5,8,13,0.264482178
6178,19,14,female,15,2,4,25,27,-1.2631191608
6215,15,29,male,72,4,7,38,19,1.7334485022
6264,17,20,female,33,5,6,34,17,1.0040733752
6329,23,26,female,56,3,6,37,21,2.3939725447
6448,5,4,female,11,2,6,7,22,-3.7368649507
6510,19,20,female,41,2,8,34,30,2.0292849811
6516,14,10,male,10,1,3,7,6,-2.4464650763
6532,9,26,male,81,5,3,37,10,0.6980208262
6537,23,30,female,35,3,7,35,24,2.1772032206
6544,19,20,female,16,3,6,29,25,-0.1690564702
6552,14,23,female,15,4,10,33,30,0.8561551357
6599,12,6,female,10,2,4,9,12,-3.8261481756
