"Subject","Stimulus","Correct"
1034,"agg",0
2151,"agg",0
9022,"agg",0
7337,"agg",0
8477,"agg",0
6544,"agg",0
5153,"agg",0
1668,"agg",0
288,"agg",0
9781,"agg",0
7886,"agg",0
7164,"agg",0
5566,"agg",0
447,"agg",0
230,"agg",0
134,"agg",0
8674,"agg",0
9318,"agg",0
7616,"agg",0
6150,"agg",0
3172,"agg",0
4155,"agg",0
1976,"agg",0
8968,"agg",0
5277,"agg",0
8443,"agg",0
6537,"agg",0
3704,"agg",0
4932,"agg",0
2846,"agg",0
9555,"agg",0
8763,"agg",0
7098,"agg",0
6329,"agg",0
4432,"agg",0
3434,"agg",0
1312,"agg",0
2290,"agg",0
9275,"agg",0
7601,"agg",0
5290,"agg",0
6131,"agg",0
4137,"agg",0
1967,"agg",0
3125,"agg",0
9913,"agg",0
8385,"agg",0
5755,"agg",1
6532,"agg",0
4854,"agg",0
2795,"agg",0
1570,"agg",0
8760,"agg",0
78,"agg",0
6264,"agg",0
550,"agg",0
3357,"agg",0
4420,"agg",0
2285,"agg",0
9219,"agg",0
6618,"agg",0
7569,"agg",0
6039,"agg",0
3914,"agg",0
8509,"agg",0
3121,"agg",0
9912,"agg",0
7215,"agg",0
8373,"agg",0
6516,"agg",1
4675,"agg",0
3566,"agg",0
1404,"agg",0
9509,"agg",0
7794,"agg",0
6832,"agg",0
5491,"agg",0
6215,"agg",0
4369,"agg",0
2271,"agg",0
8531,"agg",0
9193,"agg",0
7540,"agg",0
5997,"agg",0
6599,"agg",0
527,"agg",0
3071,"agg",0
8805,"agg",0
9861,"agg",1
8094,"agg",0
6510,"agg",0
5621,"agg",0
3558,"agg",0
2493,"agg",0
9490,"agg",0
8706,"agg",0
6800,"agg",0
776,"agg",0
6178,"agg",0
4274,"agg",0
1076,"agg",0
2196,"agg",0
9093,"agg",0
7479,"agg",0
9442,"agg",1
6552,"agg",0
5180,"agg",0
1830,"agg",0
2909,"agg",0
9802,"agg",0
7921,"agg",0
7165,"agg",0
5584,"agg",0
4566,"agg",0
2384,"agg",0
1350,"agg",0
8699,"agg",0
8707,"agg",0
7744,"agg",0
6164,"agg",0
3204,"agg",0
4181,"agg",0
3454,"agg",0
6843,"agg",0
1401,"agg",0
1644,"agg",0
5901,"agg",0
3836,"agg",0
7269,"agg",0
552,"agg",0
5885,"agg",0
8788,"agg",0
3691,"agg",0
64,"agg",0
1897,"agg",0
8927,"agg",0
3843,"agg",0
8578,"agg",0
7330,"agg",0
6760,"agg",0
5362,"agg",0
5449,"agg",0
2654,"agg",0
675,"agg",0
3494,"agg",0
7859,"agg",0
8942,"agg",0
326,"agg",0
1232,"agg",0
4650,"agg",0
5916,"agg",0
8667,"agg",0
5731,"agg",0
1936,"agg",0
3270,"agg",0
3859,"agg",0
9513,"agg",0
1264,"agg",0
6448,"agg",0
6780,"agg",0
717,"agg",0
545,"agg",0
8798,"agg",0
9093,"alltid",0
9022,"alltid",0
2151,"alltid",0
6800,"alltid",0
8699,"alltid",1
7479,"alltid",0
134,"alltid",0
4155,"alltid",0
545,"alltid",0
230,"alltid",0
6178,"alltid",0
4432,"alltid",0
6780,"alltid",1
7744,"alltid",0
8477,"alltid",0
7165,"alltid",0
8788,"alltid",0
6552,"alltid",0
6832,"alltid",0
9442,"alltid",0
8674,"alltid",0
776,"alltid",0
1034,"alltid",0
9193,"alltid",0
1668,"alltid",1
7540,"alltid",0
2196,"alltid",0
6264,"alltid",0
6599,"alltid",0
3172,"alltid",0
7794,"alltid",1
717,"alltid",1
8509,"alltid",0
9318,"alltid",0
8706,"alltid",0
3454,"alltid",0
5491,"alltid",1
9490,"alltid",0
6843,"alltid",0
550,"alltid",1
8798,"alltid",0
1350,"alltid",0
8707,"alltid",0
8805,"alltid",0
6618,"alltid",0
7569,"alltid",0
4181,"alltid",0
7601,"alltid",1
2271,"alltid",0
8531,"alltid",0
1830,"alltid",0
2909,"alltid",0
6131,"alltid",0
6215,"alltid",1
9219,"alltid",0
4274,"alltid",1
1076,"alltid",0
2384,"alltid",0
552,"alltid",0
3434,"alltid",1
1976,"alltid",0
5916,"alltid",0
1401,"alltid",0
3204,"alltid",0
5290,"alltid",0
3704,"alltid",1
6150,"alltid",0
9802,"alltid",0
326,"alltid",0
3494,"alltid",0
3836,"alltid",0
5153,"alltid",0
5755,"alltid",0
288,"alltid",0
9861,"alltid",0
6164,"alltid",0
5566,"alltid",0
447,"alltid",0
78,"alltid",0
7215,"alltid",1
5180,"alltid",1
7337,"alltid",0
7616,"alltid",0
5362,"alltid",0
6329,"alltid",0
9509,"alltid",1
3071,"alltid",0
6544,"alltid",0
5449,"alltid",0
9275,"alltid",1
