Subject,Sex,Age,NrLang,DS.Span,DS.Total,GmVoc,Raven,EnglishScore
1034,female,51,3,5,6,32,23,19
1076,male,14,3,6,9,30,32,23
1232,male,24,4,4,5,32,8,34
1264,male,12,1,4,5,17,19,11
1312,male,77,2,4,6,32,2,9
134,male,33,3,4,6,32,24,24
1350,male,43,4,7,10,38,31,38
1401,male,59,4,6,10,38,21,39
1404,female,23,3,4,6,29,27,29
1570,male,29,4,4,6,36,19,NA
1644,female,45,3,4,6,34,19,32
1668,female,37,3,4,6,35,21,37
1830,male,15,3,4,5,18,5,22
1897,male,33,8,3,5,31,16,30
1936,male,60,4,5,7,36,24,41
1967,male,72,1,4,5,NA,3,10
1976,male,11,1,3,3,15,18,9
2151,female,26,4,8,11,32,28,33
2196,female,67,4,4,6,35,22,36
2271,female,26,4,6,8,35,28,43
2285,male,51,2,5,7,34,32,35
2290,male,58,2,4,5,36,0,33
230,male,84,4,5,7,37,20,31
2384,female,27,2,5,7,36,22,36
2493,male,16,2,3,4,22,18,27
2654,female,41,2,5,6,33,15,24
2795,female,70,2,5,7,37,7,7
2846,female,11,3,4,6,4,15,6
288,male,28,4,6,9,35,24,39
2909,male,58,2,6,8,34,9,16
3071,female,48,3,6,7,26,24,28
3121,female,15,2,4,5,20,22,34
3125,male,12,1,3,4,20,15,14
3172,male,16,2,6,8,23,17,19
3204,female,15,2,7,9,25,23,28
326,female,32,3,4,6,35,19,32
3270,female,36,5,6,9,36,17,42
3357,female,44,3,4,5,34,18,31
3434,female,37,3,3,3,37,17,39
3454,male,10,2,4,5,23,9,11
3494,female,46,4,4,5,32,22,28
3558,male,10,2,3,3,4,14,9
3566,female,29,3,7,10,34,19,39
3691,female,59,3,5,8,35,18,38
3704,male,72,4,4,5,35,26,40
3836,female,66,4,6,9,35,20,29
3843,male,70,4,4,5,34,17,10
3859,female,24,5,8,9,35,21,44
3914,female,11,3,4,6,12,11,3
4137,female,60,4,4,5,34,7,33
4155,female,33,4,4,6,35,27,42
4181,female,74,4,4,5,36,0,35
4274,male,70,3,6,9,38,18,34
4369,female,41,4,6,10,34,29,33
4420,female,47,2,4,5,29,7,28
4432,female,16,3,4,6,29,18,32
447,female,53,3,5,8,34,16,30
4566,female,11,3,4,6,17,15,10
4650,female,48,4,5,8,41,21,41
4675,male,71,2,5,6,33,3,17
4854,male,86,3,5,7,34,8,9
4932,female,16,2,5,8,32,19,29
5153,female,51,3,4,6,37,18,37
5180,male,65,5,5,6,38,11,34
527,male,71,2,5,8,34,15,35
5277,male,27,3,5,7,29,29,NA
5290,female,10,2,4,6,20,4,10
5362,male,33,3,3,4,35,20,43
5449,female,32,2,4,6,34,27,41
545,female,16,3,3,4,29,21,25
5491,female,41,4,5,7,35,32,43
550,female,52,3,4,5,35,15,27
552,female,56,3,4,6,36,24,30
5566,female,42,4,3,4,32,6,31
5584,female,30,4,7,9,37,29,39
5621,female,30,5,5,7,33,26,41
5731,female,76,3,4,6,38,16,41
5755,male,16,4,4,6,36,29,38
5885,male,62,2,5,8,37,13,36
5901,male,15,2,4,6,30,23,33
5916,female,11,2,6,9,6,29,18
5997,female,33,4,5,8,37,23,41
6039,female,59,3,5,8,31,3,21
6131,female,46,3,6,8,37,9,20
6150,male,63,6,4,6,36,18,31
6164,male,10,1,4,5,8,13,29
6178,female,15,2,3,4,25,27,21
6215,male,72,4,5,7,38,19,38
6264,female,33,5,4,6,34,17,34
6329,female,56,3,5,6,37,21,42
64,female,27,4,6,7,34,28,42
6448,female,11,2,4,6,7,22,8
6510,female,41,2,5,8,34,30,40
6516,male,10,1,3,3,7,6,13
6532,male,81,6,3,3,37,10,31
6537,female,35,3,5,7,35,24,41
6544,female,16,4,4,6,29,25,27
6552,female,15,6,6,10,33,30,33
6599,female,10,2,3,4,9,12,6
6618,male,44,1,3,4,33,7,29
675,male,30,3,5,7,29,23,28
6760,male,52,4,5,7,34,27,39
6780,male,68,4,5,7,40,21,36
6800,female,28,4,5,6,31,13,NA
6832,female,53,4,5,8,36,20,33
6843,male,71,2,5,6,31,4,28
7098,female,62,1,2,2,35,1,37
7164,male,10,1,2,2,4,19,5
7165,male,16,3,4,6,32,18,34
717,female,15,2,5,6,29,21,25
7215,male,74,3,2,4,34,13,21
7269,male,25,5,8,12,35,24,36
7330,female,68,4,6,8,37,12,37
7337,female,49,3,4,5,36,19,30
7479,male,25,4,8,11,38,34,43
7540,female,59,2,3,5,31,13,29
7569,male,10,1,5,7,4,8,6
7601,female,38,3,6,9,36,22,39
7616,female,11,2,4,6,13,2,15
7744,male,11,2,2,2,6,18,9
776,female,40,2,4,6,29,11,6
7794,male,64,3,5,6,36,10,38
78,female,47,3,6,8,33,26,27
7859,female,62,4,4,5,35,11,28
7886,female,10,1,4,6,27,26,31
7921,female,15,4,4,6,27,26,31
8094,male,56,3,5,7,37,19,33
8373,female,30,6,6,8,36,19,42
8385,female,69,2,4,4,28,7,26
8443,female,71,5,4,5,33,0,36
8477,female,42,3,6,8,36,25,26
8509,male,68,3,4,5,34,10,18
8531,female,52,4,5,8,36,30,31
8578,male,11,2,4,6,9,20,17
8667,female,27,3,5,6,33,33,44
8674,female,63,3,4,6,31,23,20
8699,female,80,4,4,5,36,12,30
8706,male,70,3,5,7,34,7,15
8707,female,63,3,4,4,35,6,34
8760,male,82,2,5,7,37,7,22
8763,female,40,2,3,4,27,26,13
8788,male,35,3,6,9,37,29,42
8798,male,15,2,4,5,20,18,14
8805,male,70,4,4,4,35,22,35
8927,male,59,5,5,5,36,9,32
8942,male,32,3,5,6,35,25,42
8968,male,25,2,4,6,31,21,26
9022,female,65,2,6,7,33,12,29
9093,female,15,3,4,6,18,23,21
9193,female,25,9,4,6,32,20,38
9219,male,11,1,5,6,11,9,13
9275,male,72,3,5,7,35,9,15
9318,male,72,2,4,6,34,9,19
9442,female,23,2,4,6,32,27,34
9490,female,39,2,6,9,35,21,32
9509,male,73,3,5,7,37,14,38
9513,male,10,1,4,5,14,5,10
9555,male,51,3,4,6,34,14,36
9781,male,43,4,8,12,34,35,37
9802,female,28,4,4,6,34,18,37
9861,male,24,4,5,7,36,25,41
9912,male,10,2,4,4,9,14,9
9913,female,40,3,5,8,29,17,17
