"Subject","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","zEnglish.MC","zEnglish.Cloze","English.Overall","ProfileRight"
"1034",19,20,0,0,"DBCA",3,"female",51,"monolingual",3,5,6,32,0,23,19,8,11,1,0,327.5,506.5,1,417,1,1,526,514,0.9771863118,-12,5,5,2,2,3,2,-1.22745629767295,-0.538052595959064,-1.76550889363202,FALSE
"1076",20,15,0,0,"DACB",3,"male",14,"monolingual",3,6,9,30,1,32,23,12,11,1,0.05,218,326,0.9875,272,0.9285714286,0.9285714286,309,299,0.9676375405,-10,1,1,5,4,5,4,-0.360379001303537,-0.538052595959064,-0.898431597262602,FALSE
"1232",20,16,0,0,"DBCA",3,"male",24,"monolingual",4,4,5,32,5,8,34,15,19,1,0.45,407.5,817,0.8875,612.25,0.9285714286,1,356,408,1.1460674157,52,6,6,4,4,3,3,0.289928970973523,0.64529331955228,0.935222290525803,FALSE
"1264",9,6,0,0,"ADBC",4,"male",12,"monolingual",1,4,5,17,21,19,11,9,2,1,0.25,345,608,0.9375,476.5,0.8571428571,0.8571428571,441,430,0.9750566893,-11,4,3,2,2,0,0,-1.0106869735806,-1.86931675090933,-2.88000372448992,FALSE
"1312",2,16,0,0,"CADB",1,"male",77,"monolingual",2,4,6,32,3,2,9,7,2,1,0.45,293.5,1582,0.8875,937.75,1,0.9285714286,403.5,441,1.092936803,37.5,6,6,1,1,2,1,-1.4442256217653,-1.86931675090933,-3.31354237267463,FALSE
"134",24,12,0,0,"ADBC",4,"male",33,"monolingual",3,4,6,32,1,24,24,16,8,1,0.05,401,497,0.9875,449,1,1,434,483.5,1.1140552995,49.5,6,6,3,3,4,4,0.506698295065876,-0.981807314275818,-0.475109019209942,FALSE
"1350",18,26,0,0,"BCAD",2,"male",43,"bilingual",4,7,10,38,0,31,38,17,21,0.95,0.05,133,224,0.9736842105,178.5,0.9285714286,1,369,340.5,0.9227642276,-28.5,6,6,5,5,4,4,0.723467619158229,0.941129798430116,1.66459741758835,FALSE
"1401",20,22,0,0,"DBCA",3,"male",59,"monolingual",4,6,10,38,0,21,39,19,20,0.95,0,267,317,0.9875,292,1,1,450.5,437,0.9700332963,-13.5,6,6,3,3,3,3,1.15700626734294,0.793211558991198,1.95021782633413,FALSE
"1404",20,19,0,0,"ACBD",2,"female",23,"monolingual",3,4,6,29,1,27,29,14,15,1,0,309.5,494.5,1,402,1,0.8571428571,336.5,352,1.0460624071,15.5,6,6,5,5,3,3,0.0731596468811693,0.0536203617966079,0.126780008677777,FALSE
"1570",23,17,0,0,"BDAC",4,"male",29,"monolingual",4,4,6,36,0,19,NA,NA,NA,1,0,253.5,515,1,384.25,1,0.9285714286,501,515,1.0279441118,14,6,6,4,4,4,4,NA,NA,NA,FALSE
"1644",21,24,0,0,"BDAC",4,"female",45,"monolingual",3,4,6,34,0,19,32,15,17,1,0.05,300,1020,0.9875,660,1,1,423.5,461,1.0885478158,37.5,6,6,4,4,3,3,0.289928970973523,0.349456840674444,0.639385811647967,FALSE
"1668",21,30,1,1,"DACB",3,"female",37,"monolingual",3,4,6,35,4,21,37,19,18,1,0.05,438,755,0.9875,596.5,1,1,418.5,463,1.1063321386,44.5,6,1,4,4,4,3,1.15700626734294,0.497375080113362,1.6543813474563,TRUE
"1830",13,6,0,0,"CADB",1,"male",15,"monolingual",3,4,5,18,3,5,22,12,10,0.95,0,454,702,0.9875,578,1,0.9285714286,409,468,1.1442542787,59,6,6,2,2,2,2,-0.360379001303537,-0.685970835397982,-1.04634983670152,FALSE
"1897",17,23,2,0,"ADBC",4,"male",33,"monolingual",8,3,5,31,4,16,30,13,17,1,0.15,226,726,0.9625,476,1,0.9285714286,439,430,0.979498861,-9,5,5,1,1,4,4,-0.143609677211184,0.349456840674444,0.20584716346326,TRUE
"1936",22,23,0,0,"DBCA",3,"male",60,"monolingual",4,5,7,36,4,24,41,19,22,1,0,691,833,1,762,1,1,850.5,812,0.9547325103,-38.5,6,6,4,4,4,4,1.15700626734294,1.08904803786903,2.24605430521197,FALSE
"1967",15,14,0,0,"BDAC",4,"male",72,"monolingual",1,4,5,NA,NA,3,10,9,1,0.95,0,370,631.5,0.9875,500.75,1,1,610.5,661.5,1.0835380835,51,5,5,0,0,2,2,-1.0106869735806,-2.01723499034824,-3.02792196392884,FALSE
"1976",11,13,0,0,"ADBC",4,"male",11,"bilingual",1,3,3,15,17,18,9,5,4,1,0.3,607,901.5,0.925,754.25,0.7857142857,0.8571428571,498,498,1,0,6,6,5,5,1,1,-1.87776426995001,-1.57348027203149,-3.4512445419815,FALSE
"2151",13,15,0,0,"ADBC",4,"female",26,"monolingual",4,8,11,32,0,28,33,17,16,1,0.05,411,585,0.9875,498,0.9285714286,1,589,405,0.6876061121,-184,6,6,4,5,4,4,0.723467619158229,0.201538601235526,0.925006220393755,FALSE
"2196",10,21,0,0,"CBDA",1,"female",67,"monolingual",4,4,6,35,0,22,36,16,20,0.95,0.2,477,562.5,0.9317434211,519.75,1,1,865,728.5,0.8421965318,-136.5,6,6,4,3,3,2,0.506698295065876,0.793211558991198,1.29990985405707,FALSE
"2271",20,24,0,0,"ADBC",4,"female",26,"bilingual",4,6,8,35,0,28,43,20,23,1,0,203,263.5,1,233.25,1,1,295,312.5,1.0593220339,17.5,6,6,3,4,6,6,1.37377559143529,1.23696627730795,2.61074186874324,FALSE
