b.covariate,b.condition,slope.nocov,slope.cov,se.nocov,se.cov,power.z.nocov,power.z.cov,power.x2.nocov,power.x2.cov
0,0,0.007331940404109259,0.007152899152613978,0.46386968330587414,0.47043267120746785,0.052,0.050333333333333334,0.052333333333333336,0.052333333333333336
0.5,0,-0.011771108072039684,-0.008678732078459086,0.46374342283346415,0.4735708691357769,0.044,0.044,0.045,0.04733333333333333
1,0,0.0074189674908631525,0.00896563958289101,0.4631000236127221,0.4833430198159156,0.055,0.05533333333333333,0.056,0.058333333333333334
1.5,0,-0.002377874082540881,-0.002969966069044725,0.4617622013302388,0.49852829066958554,0.057,0.049,0.057666666666666665,0.054
2,0,0.018862007705374006,0.021771941178836674,0.4604679396858912,0.5192960077611364,0.05366666666666667,0.04766666666666667,0.054,0.05333333333333334
2.5,0,0.009369352934025674,0.013858256767301569,0.4594955076232518,0.5465592242311291,0.051333333333333335,0.049,0.051666666666666666,0.057
3,0,0.014830899928051467,0.011123341654066915,0.45855377291201127,0.5759139076085883,0.05,0.04633333333333333,0.050333333333333334,0.05466666666666667
3.5,0,-0.0019161612566326062,-0.0014531976663605312,0.4572448659998203,0.6112342854018515,0.05333333333333334,0.04766666666666667,0.05333333333333334,0.05533333333333333
4,0,0.009761205416595116,0.003077105369822593,0.45698142148970816,0.6423258112868332,0.056666666666666664,0.03933333333333333,0.056666666666666664,0.050333333333333334
0,0.2,0.16432056309931523,0.1662167109514804,0.4604058831888076,0.4666257712571928,0.07266666666666667,0.07066666666666667,0.07333333333333333,0.07433333333333333
0.5,0.2,0.16179381683480593,0.16629476910918506,0.46046678952360853,0.4703915341079298,0.06166666666666667,0.06533333333333333,0.063,0.07
1,0.2,0.1691635531391308,0.18295176501745414,0.46004651382141826,0.4797606985001721,0.07,0.068,0.07133333333333333,0.06966666666666667
1.5,0.2,0.15175232633128072,0.17267946458246033,0.4589683372794013,0.4964962431464271,0.06966666666666667,0.06233333333333333,0.07,0.07133333333333333
2,0.2,0.1547443917941825,0.19051098353098403,0.4585394020611245,0.518584646392688,0.06666666666666667,0.06666666666666667,0.06733333333333333,0.072
2.5,0.2,0.13489568281410216,0.17900754906543553,0.4574917681774917,0.5445197335696347,0.06766666666666667,0.06133333333333333,0.06766666666666667,0.06833333333333333
3,0.2,0.11062698736388685,0.17977438488234287,0.45665835823267237,0.5743603631141316,0.06366666666666666,0.056666666666666664,0.06366666666666666,0.068
3.5,0.2,0.10227065294253594,0.1846685158609042,0.45596261173282904,0.6101050671008607,0.06133333333333333,0.05566666666666667,0.06166666666666667,0.066
4,0.2,0.09901610939827593,0.17803364951991688,0.4556368498647925,0.6445568976422635,0.059666666666666666,0.050333333333333334,0.059666666666666666,0.06566666666666666
0,0.4,0.3467597384440936,0.3502151753031586,0.45911422910443594,0.46562657760935405,0.12166666666666667,0.119,0.12166666666666667,0.123
0.5,0.4,0.32770287870517467,0.3357011621003884,0.458546396204562,0.4683560998333044,0.11566666666666667,0.10633333333333334,0.116,0.112
1,0.4,0.32615308304977614,0.3469121939783708,0.45866080381366614,0.47878351358212645,0.11366666666666667,0.10766666666666666,0.11366666666666667,0.116
1.5,0.4,0.31770718339312304,0.3630678688822588,0.4579298107345705,0.49564217691569223,0.119,0.114,0.11933333333333333,0.125
2,0.4,0.2929536025571192,0.36824092690206034,0.4570781047158298,0.5178419405740803,0.10166666666666667,0.10033333333333333,0.10233333333333333,0.11533333333333333
2.5,0.4,0.24574556322169358,0.34334218585849413,0.4564224808417894,0.5448842051413803,0.08733333333333333,0.092,0.08733333333333333,0.10266666666666667
3,0.4,0.24572056725746044,0.3782548919220943,0.4556927760967409,0.5766183614129845,0.08966666666666667,0.09166666666666666,0.08966666666666667,0.103
3.5,0.4,0.21153295433557934,0.3726694891685496,0.4552777240241142,0.609562228500333,0.08166666666666667,0.083,0.08166666666666667,0.09866666666666667
4,0.4,0.20176731221137442,0.3797369488851867,0.45489068586604114,0.6502097829673906,0.07733333333333334,0.078,0.07733333333333334,0.094
0,0.6000000000000001,0.5092562152262096,0.5173426702504931,0.45883279945883276,0.46561026483680573,0.217,0.206,0.217,0.21333333333333335
0.5,0.6000000000000001,0.5020510121491577,0.5136259517406249,0.4584086700539559,0.4684997394315924,0.204,0.186,0.204,0.196
1,0.6000000000000001,0.47504858547219736,0.508948006321691,0.458133017367199,0.47915658346773154,0.189,0.18433333333333332,0.189,0.19066666666666668
1.5,0.6000000000000001,0.4649730948852364,0.5369638090199083,0.45777538245100036,0.49670847719382244,0.18266666666666667,0.18466666666666667,0.18266666666666667,0.19766666666666666
2,0.6000000000000001,0.42757272650336425,0.5416135184358644,0.4575038539723449,0.5211135121963626,0.16833333333333333,0.17966666666666667,0.16833333333333333,0.192
2.5,0.6000000000000001,0.37887787985987065,0.5178807292710744,0.45598606437508954,0.5453863081569361,0.13033333333333333,0.139,0.13033333333333333,0.15233333333333332
3,0.6000000000000001,0.36018169168076575,0.5473075344903809,0.45595448984154985,0.5784751918793173,0.135,0.15,0.13533333333333333,0.16533333333333333
3.5,0.6000000000000001,0.3175057239849785,0.5545375400403715,0.4551731579690909,0.6144734799695524,0.11533333333333333,0.13266666666666665,0.11533333333333333,0.15066666666666667
4,0.6000000000000001,0.2934742464491426,0.5695424006720391,0.4552554896179584,0.6527948331124935,0.11733333333333333,0.12333333333333334,0.11733333333333333,0.14233333333333334
0,0.8,0.6707352168668167,0.6813716606398896,0.4603875236321872,0.46726929035219994,0.3253333333333333,0.31233333333333335,0.3253333333333333,0.31933333333333336
0.5,0.8,0.6699253661151842,0.6904973992905888,0.46044238415134703,0.4710189397985972,0.319,0.30733333333333335,0.319,0.31666666666666665
1,0.8,0.6483567249793823,0.6949348370503996,0.45997476106249385,0.48201992258561593,0.31566666666666665,0.30266666666666664,0.31566666666666665,0.31533333333333335
1.5,0.8,0.6064316185377332,0.7017550073517905,0.4590368829924938,0.499996613721295,0.28,0.2723333333333333,0.28,0.28633333333333333
2,0.8,0.5567669149639913,0.6992587968239509,0.45810108850148656,0.523207397426761,0.23866666666666667,0.25566666666666665,0.23866666666666667,0.27466666666666667
2.5,0.8,0.5216922060585564,0.7185634218936541,0.4574064493883904,0.5515851528536326,0.21933333333333332,0.23933333333333334,0.21933333333333332,0.2623333333333333
3,0.8,0.48222381169600986,0.7419828814719848,0.45697425720296386,0.587323208107468,0.20266666666666666,0.229,0.20266666666666666,0.25233333333333335
3.5,0.8,0.4232851029865411,0.726804803356336,0.45609962478134786,0.6191021883212651,0.165,0.20366666666666666,0.165,0.23
4,0.8,0.3868508111555959,0.7571793540912481,0.4555787697595366,0.6588480703223079,0.14866666666666667,0.18633333333333332,0.14866666666666667,0.21566666666666667
0,1,0.8438571170552309,0.8550790108159406,0.463895069536931,0.4708153446747445,0.4666666666666667,0.45,0.467,0.45866666666666667
0.5,1,0.8496404839877764,0.8710556238008772,0.4637724696339838,0.4747224199131243,0.4686666666666667,0.4503333333333333,0.4686666666666667,0.45966666666666667
1,1,0.8083415162670572,0.869029899732018,0.462747995565105,0.48602760410810675,0.447,0.436,0.447,0.44866666666666666
1.5,1,0.7762928169910026,0.8937577102018294,0.46214361990538577,0.5047972218228967,0.402,0.4216666666666667,0.402,0.43966666666666665
2,1,0.7119398270502517,0.8869625776653122,0.46064869080425075,0.5283700677498246,0.36033333333333334,0.394,0.36033333333333334,0.41333333333333333
2.5,1,0.6499526815861875,0.8995181397602379,0.4592961423199286,0.5593374332704734,0.305,0.361,0.305,0.38433333333333336
3,1,0.5838470152502353,0.9089844171563006,0.458120849871326,0.5927526540687881,0.25533333333333336,0.308,0.25533333333333336,0.3353333333333333
3.5,1,0.5441161571156113,0.9273618181709149,0.45771361531015964,0.6288121581091493,0.23166666666666666,0.299,0.23166666666666666,0.3283333333333333
4,1,0.49118481810352477,0.9278095104584939,0.4566630656031487,0.6666805247245247,0.205,0.2633333333333333,0.205,0.29533333333333334
0,1.2000000000000002,1.0396766696505795,1.0554234346008184,0.46989808056726234,0.4773142737981079,0.6333333333333333,0.618,0.6333333333333333,0.6236666666666667
0.5,1.2000000000000002,1.0004885114338664,1.0301402309105143,0.4684194231587795,0.4803926305973802,0.6026666666666667,0.587,0.6026666666666667,0.5956666666666667
1,1.2000000000000002,0.9748635529444819,1.0421005854633747,0.46807431890022544,0.4923476117200148,0.5783333333333334,0.5626666666666666,0.5783333333333334,0.5776666666666667
1.5,1.2000000000000002,0.9182923803102458,1.0548633063033286,0.4661226782634162,0.5110292858741933,0.5276666666666666,0.5476666666666666,0.5276666666666666,0.563
2,1.2000000000000002,0.8515168846571419,1.0727442783297674,0.4642211185167997,0.5370999273220921,0.4603333333333333,0.504,0.4603333333333333,0.525
2.5,1.2000000000000002,0.7747586068820831,1.0723718093054202,0.46238272397182295,0.5656023459323676,0.4023333333333333,0.48033333333333333,0.4023333333333333,0.505
3,1.2000000000000002,0.7280273944236503,1.1186551078225289,0.46138936973385675,0.6021015314910177,0.37066666666666664,0.467,0.37066666666666664,0.496
3.5,1.2000000000000002,0.6447204609705685,1.1097619190899863,0.4595465740389113,0.6364074770529855,0.30566666666666664,0.4066666666666667,0.30566666666666664,0.435
4,1.2000000000000002,0.5978109803533215,1.1338939283941256,0.4587530431672132,0.6767136636501823,0.2836666666666667,0.373,0.2836666666666667,0.413
0,1.4000000000000001,1.2026905643810648,1.220121697699526,0.4769936657399769,0.48500298277204257,0.7356666666666667,0.718,0.7356666666666667,0.7273333333333334
0.5,1.4000000000000001,1.1858159483338069,1.2206717072615898,0.4759524561178129,0.4886915861621257,0.724,0.7116666666666667,0.7243333333333334,0.7223333333333334
