b.covariate,sd.lat,slope.nocov,slope.cov,se.nocov,se.cov,power.z.nocov,power.z.cov,power.x2.nocov,power.x2.cov
0,0,1.6470159234579125,1.6720604323138601,0.5014660575668831,0.5109103500180825,0.9376666666666666,0.9313333333333333,0.9383333333333334,0.9343333333333333
0.5,0,1.6150281184823243,1.6696788561404587,0.4994203262895205,0.5157844992301701,0.936,0.9346666666666666,0.9366666666666666,0.9376666666666666
1,0,1.5535546361411998,1.7039846192376054,0.4960196769895625,0.5358099512014249,0.914,0.923,0.9143333333333333,0.9263333333333333
1.5,0,1.4096159797637495,1.6930139334846954,0.48859529661688467,0.5623128396718786,0.8596666666666667,0.892,0.86,0.9013333333333333
2,0,1.2602030814256058,1.6958815451418103,0.48129903439575145,0.5975090106589351,0.7736666666666666,0.846,0.774,0.8586666666666667
2.5,0,1.1216499516821248,1.7163353367251755,0.47508722130542647,0.6396354742123558,0.6863333333333334,0.81,0.6866666666666666,0.826
3,0,1.007020346877334,1.7337609049175067,0.47054073389616724,0.6811378458338829,0.596,0.7736666666666666,0.596,0.7986666666666666
3.5,0,0.8800631241010897,1.7243169875063131,0.4665993495619528,0.7275448021375168,0.488,0.7043333333333334,0.48833333333333334,0.739
4,0,0.8110013392941031,1.7620919851048438,0.4650021905045331,0.7816604785363592,0.444,0.6503333333333333,0.44433333333333336,0.686
0,0.5,1.5648188327060033,1.5899273293613336,0.4969817861071389,0.5060599544891461,0.9166666666666666,0.9066666666666666,0.917,0.9106666666666666
0.5,0.5,1.5270670085915434,1.5803635291409215,0.49397008257573566,0.5099414725815559,0.9113333333333333,0.9063333333333333,0.9116666666666666,0.9116666666666666
1,0.5,1.4456414676631215,1.578235152236157,0.48999671354440716,0.5250882821512388,0.8693333333333333,0.8786666666666667,0.8706666666666667,0.8863333333333333
1.5,0.5,1.355355791310854,1.6011057233560457,0.48497403711907683,0.5499917870296028,0.8296666666666667,0.8643333333333333,0.83,0.8733333333333333
2,0.5,1.235277095793276,1.6175798492813667,0.47982638946307477,0.5833134207261763,0.756,0.8303333333333334,0.7563333333333333,0.8446666666666667
2.5,0.5,1.1122771265510245,1.6243754534140467,0.47507986066215135,0.6214049510361279,0.6746666666666666,0.7816666666666666,0.6746666666666666,0.8006666666666666
3,0.5,0.9857621340471409,1.6336511236458586,0.46959056902004376,0.660293811234642,0.5856666666666667,0.741,0.5856666666666667,0.7663333333333333
3.5,0.5,0.8948359457577664,1.674470983671277,0.4669834578740246,0.709691689046033,0.5093333333333333,0.6913333333333334,0.5093333333333333,0.7236666666666667
4,0.5,0.8055445545290438,1.7152942825051254,0.46430770144031447,0.7599728196491716,0.431,0.6533333333333333,0.43133333333333335,0.696
0,1,1.3780419364047722,1.3980213465051339,0.4863878649704242,0.49433271912526067,0.847,0.8363333333333334,0.847,0.8406666666666667
0.5,1,1.3801489359365813,1.42155964901109,0.48673422103517433,0.5000319648322703,0.837,0.8286666666666667,0.8373333333333334,0.8356666666666667
1,1,1.3162800561063013,1.4074174197402858,0.4834186524895339,0.5107250027497388,0.807,0.811,0.8076666666666666,0.8183333333333334
1.5,1,1.2207406761944448,1.3986515460691034,0.47939174382538813,0.5292115669009614,0.7473333333333333,0.7706666666666667,0.7476666666666667,0.7826666666666666
2,1,1.1533702503913608,1.435860093334237,0.47654232884673947,0.5562952318341478,0.7053333333333334,0.7563333333333333,0.7056666666666667,0.7723333333333333
2.5,1,1.0435010798283648,1.437721906919312,0.4718873863652101,0.5870609983626098,0.624,0.7073333333333334,0.624,0.727
3,1,0.9492333065591773,1.4571837342059426,0.46866160224281656,0.6244270057979514,0.5463333333333333,0.6693333333333333,0.5466666666666666,0.6953333333333334
3.5,1,0.8716811445647936,1.4847275778953397,0.4660505167668265,0.6621114768830114,0.4846666666666667,0.6373333333333333,0.4846666666666667,0.667
4,1,0.7889181264249653,1.5194595155189639,0.4637675668486548,0.7059994951413182,0.414,0.6013333333333334,0.414,0.6353333333333333
0,1.5,1.1806648642887543,1.1950708120470541,0.47814260831090283,0.48586173027007806,0.7146666666666667,0.6963333333333334,0.7146666666666667,0.705
0.5,1.5,1.1628514192564134,1.1924783418749547,0.4769817996590669,0.4883309000298179,0.706,0.688,0.7066666666666667,0.698
1,1.5,1.130861240344798,1.1958607333540585,0.4753389868131178,0.49647547430840694,0.6936666666666667,0.683,0.6936666666666667,0.6943333333333334
1.5,1.5,1.0919207528250403,1.2168036892332594,0.47405986496059654,0.5117141317219325,0.67,0.6786666666666666,0.6706666666666666,0.6943333333333334
2,1.5,1.0257992961866953,1.2163630715796117,0.4717711800567199,0.5301478542068813,0.5996666666666667,0.642,0.5996666666666667,0.6566666666666666
2.5,1.5,0.9520221039851531,1.2401587264547276,0.46869956810935176,0.555546604698225,0.5576666666666666,0.6196666666666667,0.558,0.6366666666666667
3,1.5,0.8894468973245387,1.2634263090891868,0.4668505341625025,0.583938585322855,0.499,0.5803333333333334,0.49933333333333335,0.606
3.5,1.5,0.8169998102938826,1.2659733443113865,0.464530739568156,0.6126627541794268,0.431,0.556,0.43133333333333335,0.5836666666666667
4,1.5,0.7480699692126054,1.2864088199517398,0.4631502616325863,0.6470367764043966,0.37866666666666665,0.5163333333333333,0.37866666666666665,0.5473333333333333
0,2,0.9888747091557193,1.0034066017870729,0.4701245599545199,0.4773068838161608,0.5856666666666667,0.5696666666666667,0.5856666666666667,0.578
0.5,2,1.0070872962766348,1.0285945743861706,0.47078084269095993,0.480425136530815,0.599,0.5776666666666667,0.599,0.5853333333333334
1,2,0.9840477375993604,1.0293223656439783,0.4694673930472233,0.4862010279352345,0.5903333333333334,0.5793333333333334,0.5906666666666667,0.5916666666666667
1.5,2,0.9541103775478017,1.0398090092742158,0.4686241492757178,0.4973136771804313,0.559,0.5553333333333333,0.559,0.5713333333333334
2,2,0.9010525556066203,1.0287695710883236,0.46726478743718886,0.5099992539710596,0.5213333333333333,0.5276666666666666,0.5216666666666666,0.5466666666666666
2.5,2,0.8767443453856723,1.0625475549165633,0.4663990060717568,0.5285057859360014,0.487,0.5176666666666667,0.487,0.535
3,2,0.8363518415097987,1.0847020501448084,0.464832850466395,0.5496059209462442,0.45566666666666666,0.5103333333333333,0.45566666666666666,0.5276666666666666
3.5,2,0.7740901910473439,1.0782664412538914,0.4635813050684223,0.5740283284678317,0.39866666666666667,0.475,0.399,0.5
4,2,0.7014544808068174,1.0868589081415772,0.4614140425698204,0.5999896025683145,0.3526666666666667,0.44266666666666665,0.35333333333333333,0.4686666666666667
0,2.5,0.8708048592700676,0.8836637143657178,0.4663416334699855,0.47340522042858296,0.48533333333333334,0.4683333333333333,0.48633333333333334,0.481
0.5,2.5,0.8773325534569519,0.893841459970375,0.4660785633539552,0.474597474958783,0.49333333333333335,0.4756666666666667,0.49333333333333335,0.48333333333333334
1,2.5,0.8463480467509042,0.8783372963294505,0.4653753679390101,0.4792313282134517,0.4716666666666667,0.46,0.4716666666666667,0.4723333333333333
1.5,2.5,0.8209412141023837,0.8755475466726068,0.4648421302868306,0.48617535128305417,0.43733333333333335,0.42533333333333334,0.43766666666666665,0.44133333333333336
2,2.5,0.8054756781937805,0.8997867143964834,0.4645641632832406,0.49833807625033805,0.431,0.429,0.431,0.44266666666666665
2.5,2.5,0.7724312700175543,0.8963907793576014,0.46363665367236095,0.5099025303072107,0.407,0.41433333333333333,0.407,0.43033333333333335
3,2.5,0.7402810626688682,0.9150133866728971,0.46230808447224125,0.5262200619031668,0.379,0.4083333333333333,0.37933333333333336,0.425
3.5,2.5,0.6947426556014997,0.9055501090478351,0.46127919895898534,0.5433792118677079,0.3363333333333333,0.36766666666666664,0.3363333333333333,0.39166666666666666
4,2.5,0.6673123888543111,0.9344383848306559,0.4607556303190412,0.5659989746981567,0.328,0.37,0.328,0.396
0,3,0.7560373254217946,0.7669476286437037,0.4630071147519387,0.4697554343721625,0.392,0.375,0.3923333333333333,0.38533333333333336
0.5,3,0.7513688810045343,0.7641343926547322,0.46270909433020757,0.4704731403671485,0.3943333333333333,0.376,0.395,0.385
1,3,0.7434934603229302,0.7710845964029223,0.462679861836929,0.47497060944115665,0.37933333333333336,0.367,0.37966666666666665,0.37433333333333335
1.5,3,0.7271459406556195,0.7673530608519997,0.46194481475432225,0.47994282494623103,0.36566666666666664,0.352,0.36566666666666664,0.36333333333333334
2,3,0.721317323736771,0.782087155270524,0.46213842762938506,0.4883228225023548,0.36233333333333334,0.362,0.36233333333333334,0.37333333333333335
2.5,3,0.6816955128982953,0.7741737703694058,0.4610431677052081,0.4988539068798546,0.33466666666666667,0.333,0.335,0.3453333333333333
3,3,0.6855816928383917,0.8117700527595958,0.4615076303177746,0.5127782533191618,0.33866666666666667,0.346,0.33866666666666667,0.36033333333333334
3.5,3,0.6488465314695322,0.8124408297563979,0.4604060991606444,0.5260758657172411,0.311,0.3443333333333333,0.311,0.35933333333333334
4,3,0.6191427245104688,0.8105359540182258,0.4595232555265306,0.5412133336279119,0.2816666666666667,0.31233333333333335,0.2816666666666667,0.3313333333333333
0,3.5,0.6704522647578361,0.6806568239496218,0.46050526399509856,0.46717260293295976,0.324,0.30533333333333335,0.3243333333333333,0.31333333333333335
0.5,3.5,0.6601664273064168,0.6727233750787073,0.46074814199654907,0.4683227474574617,0.31766666666666665,0.30566666666666664,0.31766666666666665,0.31266666666666665
1,3.5,0.665266808408326,0.6829746375378155,0.46072993381014915,0.4712717681320702,0.32166666666666666,0.30533333333333335,0.32166666666666666,0.31466666666666665
1.5,3.5,0.6457092757730944,0.6730503112375494,0.46017843041921247,0.4749916793313096,0.304,0.292,0.304,0.30233333333333334
2,3.5,0.6423759077956868,0.6903383075184654,0.4600541705837277,0.4819083811159997,0.298,0.295,0.298,0.307
2.5,3.5,0.6128049871867717,0.6798824853410615,0.4594561428993377,0.48954433824910826,0.27266666666666667,0.2803333333333333,0.27266666666666667,0.2966666666666667
3,3.5,0.6186353226009051,0.7145912598772689,0.45970399498713094,0.5003751695998867,0.2896666666666667,0.28833333333333333,0.2896666666666667,0.30666666666666664
3.5,3.5,0.5824661456159282,0.6964642914901429,0.45894892447613783,0.5107211204803653,0.25866666666666666,0.268,0.25866666666666666,0.2846666666666667
