Country,Year,Mono,One,Two,Three,Total,total_exposomes,sociopolitical,social_physical,GDP,Migration,number_leng_inst,number_stable_inst,distance,gender_equal_l,Polution_conc_inv,Eq,free_parties_l,inclu_suff_est,cred_elect_est,local_dem_est,n,Pop
Austria,2011,21.9,50.5,18.9,8.8,78.2,0.580798724495706,0.635756190801168,0.50752210275509,431685217367.511,15.6570549611063,2,4,31,0.426828279760995,0.503145435911682,0.592592592592593,0.456749385859517,0.841614906832298,0.5718729393752,0.672787531137658,2872,8375164
Austria,2013,18.66,50.14,20.66,10.64,81.44,0.612023796245296,0.642925171296124,0.570821962844191,430190979705.962,16.5613906058116,2,4,31,0.543639371099459,0.576233924840521,0.592592592592593,0.480838247290084,0.839703774486383,0.578371132270373,0.672787531137658,108,8451860
Belgium,2011,42.1,13.8,23.5,20.6,57.9,0.649688601313795,0.624768661487405,0.682915187748982,523330354138.133,10.162808151585,3,4,17,0.788752453285698,0.500733850701988,0.75925925925926,0,0.939321548017201,0.766233537416515,0.793519560515903,1852,11011716
Belgium,2013,33.86,15.56,27.5,23.12,66.18,0.700628907893829,0.690016529252265,0.71477874608258,521791015247.06,11.2231706729085,3,4,17,0.771795206135098,0.588590414828691,0.78395061728395,0.259992735052012,0.939321548017201,0.767232273423944,0.793519560515903,1100,11160992
Belgium,2017,21.5833333333333,19.35,32.8333333333333,26.3333333333333,78.5166666666667,0.706897645940199,0.689837360594835,0.729644693067351,502764720556.354,12.2835331942319,3,4,17,0.733479730340766,0.652985213058817,0.802469135802469,0.259992735052012,0.938604873387483,0.767232273423944,0.793519560515903,64,11384723
Belgium,2015,25.62,17.32,31.5,25.64,74.46,0.707102146035726,0.689837360594835,0.730121859956913,462335574841.484,12.2835331942319,3,4,17,0.770577818785721,0.635837143801066,0.78395061728395,0.259992735052012,0.938604873387483,0.767232273423944,0.793519560515903,1149,11258434
Belgium,2019,21.75,21.65,31.5,25.2,78.35,0.706849627676817,0.677363381641823,0.746164622390143,535865804349.803,12.2835331942319,3,4,17,0.763582679863982,0.660096372491632,0.814814814814815,0.259992735052012,0.916387959866222,0.73955327113315406,0.793519560515903,777,11467933
Bulgaria,2017,50.7166666666667,32.8333333333333,13.2833333333333,3.16666666666667,49.2833333333333,0.352614298236295,0.388660146611258,0.304553167069678,59309748166.1179,1.428196392424,1,2,27,0.574077430237829,0.339582070971206,0,0.187469048916231,0.650740563784042,0.208886163671582,0.507544810073176,1061,6803468
Bulgaria,2019,51.15,33.5,12.45,2.9,48.85,0.303553046129488,0.293015165082719,0.317603554191847,68881010245.5498,1.428196392424,1,2,27,0.593385048182073,0.353252774887295,0.00617283950617287,0.187469048916231,0.650740563784042,0.21168436629226,0.122166681338342,892,6985000
Croatia,2018,27.72,44.1,21.7,6.48,72.28,0.467967507068733,0.525543081308283,0.391200074749334,51011170111.8487,13.6047139871854,2,2,11,0.272754455252371,0.326771694921556,0.574074074074074,0.391769162702179,0.730530339225992,0.575696709268767,0.404176114036193,2390,4265344
Croatia,2019,25.7833333333333,46.05,22.0333333333333,6.13333333333333,74.2166666666667,0.416864850253943,0.438108939455045,0.388539397985808,56322449844.1579,13.6047139871854,2,2,11,0.148182945804232,0.400151297535909,0.617283950617283,0.391769162702179,0.730530339225992,0.467892504637976,0.162243751254032,272,4058200
Croatia,2020,23.75,47.75,22.5,6,76.25,0.431016090818687,0.451121429551038,0.404208972508887,61867157679.3215,13.6047139871854,2,2,11,0.10819453215087,0.394555842165914,0.709876543209877,0.391769162702179,0.766841853798376,0.412555009063305,0.233319692640291,136,4058200
Cyprus,2019,9.3,61.85,20.75,8.1,90.7,0.518348976820751,0.591523465137273,0.420782992398723,25947020102.4332,16.834034154295,1,0,44,0.167355264855434,0.527092477772834,0.567901234567901,0.480838247290084,0.794553272814143,0.477537326919165,0.613165013525699,522,1224000
Cyprus,2017,10.1,62.0833333333333,20.45,7.36666666666667,89.9,0.508491840511581,0.583252419162839,0.408811068976571,22946583374.7569,16.834034154295,1,0,44,0.124090086972018,0.546787564402138,0.555555555555555,0.480838247290084,0.81055900621118,0.428447409624395,0.613165013525699,683,1212900
Czechia,2011,30.9,39.6,22.4,7.1,69.1,0.57549588640669,0.615831256246202,0.52171539328734,229562733398.948,3.79727925076362,1,3,9,0.412856528398529,0.288092120599296,0.864197530864197,0.593873626237206,0.851648351648352,0.630001316158747,0.387801730940502,2657,10500000
Czechia,2013,26.94,41.64,24.2,7.22,73.06,0.584577168435884,0.642258909503217,0.507668180346106,211685616592.931,3.81975246546639,1,3,9,0.281728066583104,0.38325178309719,0.858024691358025,0.603940490870655,0.815575728619208,0.632832171857245,0.516687246665763,849,10510000
Czechia,2015,22.98,43.68,26,7.34,77.02,0.570518373201654,0.585529149167005,0.550504005247852,188033050459.881,3.84222568016916,1,3,9,0.323979707848844,0.43247057949965,0.895061728395062,0.512203096766381,0.815575728619208,0.632832171857245,0.381505599425188,237,10550000
Czechia,2017,21.1833333333333,45.0166666666667,26.5,7.3,78.8166666666667,0.577188066544074,0.592882025943423,0.556262787344941,218628940951.675,3.84222568016916,1,3,9,0.237989021748751,0.474009216829284,0.95679012345679,0.512203096766381,0.861204013377927,0.479952304254137,0.518168689375248,61,10590000
Czechia,2019,21.55,45.65,25.7,7.1,78.45,0.540472231051049,0.5490458664733,0.529040717154713,252548179964.897,3.84222568016916,1,3,9,0.181914445229453,0.473108940802588,0.932098765432099,0.512203096766381,0.861204013377927,0.444233641742675,0.378542714006216,1771,10649800
Denmark,2011,5.90000000000001,26.3,43.1,24.7,94.1,0.738176215450677,0.689799021050047,0.802679141318183,344003137611.271,9.36613248065313,1,2,11,0.980318762388752,0.619076686257154,0.808641975308643,0.456749385859517,0.913521261347349,0.66010241467572,0.728823022317601,233,5600940
Denmark,2013,5.22,27.74,42.34,24.66,94.74,0.74657664198943,0.685316251411818,0.828257162759578,343584391647.927,9.73256191696272,1,2,11,0.98815789868686,0.762045688357306,0.734567901234568,0.480838247290084,0.913521261347349,0.662057055419367,0.684848441590473,1033,5624000
Denmark,2019,7,29.55,37.1,26.35,93,0.752485295197633,0.672756806208638,0.858789947182959,346498737961.635,10.0989913532723,1,2,11,1,0.792419224264928,0.78395061728395,0.480838247290084,0.90157668418538,0.623763851768614,0.684848441590473,1026,5806100
Denmark,2017,5.13333333333334,29.7833333333333,39.8333333333333,25.1833333333333,94.8,0.740385625688507,0.676340179357228,0.825779554130212,332121063806.391,10.0989913532723,1,2,11,0.985380171917574,0.769736268250839,0.722222222222222,0.480838247290084,0.915910176779743,0.623763851768614,0.684848441590473,36,5731110
Denmark,2015,4.54,29.18,41.58,24.62,95.38,0.739032644332725,0.676340179357228,0.822622597633387,302673070846.857,10.0989913532723,1,2,11,0.939743841507157,0.775037531639919,0.753086419753086,0.480838247290084,0.915910176779743,0.623763851768614,0.684848441590473,281,5678910
