StudentID,Grade,Class,MLAT_T1_Total,MLAT_T2_Total,MLAT_T3_Total,PLAB_T1_Total,PLAB_T2_Total,PLAB_T3_Total,GEFT_T1_Total,Eng_T1_ScoreListening,Eng_T1_ScoreTotal,Eng_T1_ScoreUse,Eng_T2_CTest_Total,Eng_T2_CTestRS_Total,Eng_T3_CTest_Total,Eng_T3_CTestRS_Total,LOC_T1_Total.ss,extrinsic_school_T1_Total.ss,extrinsic_leisure_T1_Total.ss,intrinsic_T1_Total.ss,lingua_franca_T1_Total.ss,anxiety_T1_Total.ss,selfconcept_eng_T1_Total.ss,selfconcept_ger_T1_Total.ss,parental_encouragement_T1_Total.ss,teacher_motivation_T1_Total.ss,dedication_T1_Total.ss,extrinsic_school_T2_Total.ss,extrinsic_leisure_T2_Total.ss,intrinsic_T2_Total.ss,lingua_franca_T2_Total.ss,anxiety_T2_Total.ss,selfconcept_eng_T2_Total.ss,selfconcept_ger_T2_Total.ss,parental_encouragement_T2_Total.ss,teacher_motivation_T2_Total.ss,dedication_T2_Total.ss,future_self_T2_Total.ss,extrinsic_school_T3_Total.ss,extrinsic_leisure_T3_Total.ss,intrinsic_T3_Total.ss,lingua_franca_T3_Total.ss,anxiety_T3_Total.ss,selfconcept_eng_T3_Total.ss,selfconcept_ger_T3_Total.ss,parental_encouragement_T3_Total.ss,teacher_motivation_T3_Total.ss,dedication_T3_Total.ss,future_self_T3_Total.ss,ses_T1_Total.ss
4.01.03,4,1,10,18,18,4,8,12,4,32,33,35,7,5.6,11.4,9.2,0.8,2.6666666666666665,3.6666666666666665,2,3.75,2.8,2.6666666666666665,1.5,2,2.4,1.5,3.6666666666666665,4,3,3.25,4,2.6666666666666665,4,1.3333333333333333,2.5,3.5,4,2.3333333333333335,4,2.5,2.75,3.8,2.6666666666666665,3,2,1.75,2.5,2.6666666666666665,0.4145833333333333
4.01.04,4,1,15,19,18,9,5,5,4,29,40,51,9.6,9,12.4,12.2,0.4,2.6666666666666665,2.6666666666666665,3.25,3.75,1.8,4,3.5,3.4,4,3.75,2.3333333333333335,3,3.5,3.5,1.8,3,4,3.6666666666666665,4,4,4,1.3333333333333333,2.6666666666666665,3.5,4,2.6,2.6666666666666665,3.25,2.3333333333333335,1.75,3.5,3.6666666666666665,0.5619047619047619
4.01.05,4,1,7,10,8,2,3,6,2,40,29,19,0.2,0.2,2.8,2.8,0.45,3,3,2.75,3.25,2.6,2,3.5,3,3.4,3.5,4,4,3,3,3.8,2.3333333333333335,4,3,3.5,3.25,4,4,4,2.5,4,3.6,2.3333333333333335,4,2,3.75,3,3.6666666666666665,0.5458333333333334
4.01.06,4,1,20,21,23,3,7,15,8,46,41,36,8.2,7.4,11.2,10.6,0.35,3.6666666666666665,3.3333333333333335,4,3.5,1.4,3.6666666666666665,3.5,3.4,3.8,3.25,3.6666666666666665,3.6666666666666665,3.5,4,1.2,3,3,3.3333333333333335,3.5,4,3,3,4,4,3.75,2,3,3,2.3333333333333335,3,3,3,0.7208333333333333
4.01.07,4,1,24,22,23,5,8,10,4,48,46,44,6.6,5,7.2,6.2,0.2,2,2.3333333333333335,3,2,1,3.6666666666666665,3.75,2.6,3.4,3.25,2,2,3,2.75,1,4,4,1.6666666666666667,3.5,4,4,2.6666666666666665,4,3.5,4,1.4,3.3333333333333335,4,2,2.75,3,3.6666666666666665,0.7770833333333333
4.01.08,4,1,9,23,23,7,6,3,3,NA,NA,NA,4.2,3.8,6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1.8,2.3333333333333335,2.5,2,3.25,1.75,1.6666666666666667,3,2.6666666666666665,1.5,4,4,2,4,3,4,2.75,2.6666666666666665,0.9238095238095239
4.01.09,4,1,12,15,17,5,1,6,1,39,34,28,2.6,1.6,7.2,5.2,0.42105263157894735,3.6666666666666665,1.6666666666666667,2.5,4,2.6,2.3333333333333335,3.25,3.4,3.4,3.3333333333333335,2,1.6666666666666667,2,3.75,3,2.3333333333333335,2.5,1.6666666666666667,3.25,3,3.6666666666666665,3.6666666666666665,3,2,3.25,3.4,1.6666666666666667,1.75,1,3.5,2.75,3,0.3
4.01.10,4,1,21,NA,NA,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75625
4.01.11,4,1,5,NA,NA,3,NA,NA,2,62,40,18,NA,NA,NA,NA,NA,1.3333333333333333,3,1,3.75,2.4,2.3333333333333335,NaN,NaN,NaN,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.01.12,4,1,6,21,20,6,4,7,1,52,44,36,11.4,11,14.4,13.6,0.2,2.6666666666666665,1.3333333333333333,2.5,2.5,1.4,3,4,3.4,3.6,3.5,2.6666666666666665,1.6666666666666667,4,3.5,1.4,4,3.5,2.6666666666666665,3.25,4,4,3.6666666666666665,2.3333333333333335,4,3.75,1,3.3333333333333335,3.25,2.6666666666666665,3.75,3.75,4,0.41041666666666665
4.01.14,4,1,7,NA,9,3,NA,4,1,37,28,19,NA,NA,6.6,5.2,0.3157894736842105,4,3,3.25,3.75,1.6,3.3333333333333335,3.75,3.8,3.8,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,1.6,3.3333333333333335,3.25,4,4,3.5,4,0.5895833333333333
4.01.15,4,1,15,21,NA,4,7,NA,0,40,39,38,7.6,5.6,NA,NA,0.6,4,3.6666666666666665,3.25,3.5,3,2.6666666666666665,3.5,4,3.6,3.75,2.6666666666666665,2.3333333333333335,4,3.75,2.8,3.3333333333333335,3.25,2.6666666666666665,3.75,3.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5666666666666667
4.01.16,4,1,11,NA,NA,6,NA,NA,1,44,33,21,NA,NA,NA,NA,0.55,4,4,3.5,3.75,1.6,2.6666666666666665,4,3.8,3,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6404761904761904
4.01.19,4,1,10,17,14,5,11,12,1,56,54,51,10.8,9.2,10.4,9,0.5,3.5,2.6666666666666665,3.75,3,1.2,3.6666666666666665,4,3.4,4,3.5,3.6666666666666665,2,3,4,1,3.6666666666666665,2.25,3,3.75,3.5,3.3333333333333335,3,1,2,4,1,3.6666666666666665,2.5,3.6666666666666665,3.75,3.5,4,0.8238095238095238
4.01.20,4,1,22,19,20,6,7,5,5,27,32,37,11.2,9.8,12.6,11.8,0.25,3.3333333333333335,1,2.25,4,1,3.6666666666666665,3.75,3.8,3.2,3.75,2.6666666666666665,1.3333333333333333,2,4,1.4,3.6666666666666665,3.5,3.6666666666666665,2.75,4,4,4,1.6666666666666667,2,4,1.6,3.6666666666666665,4,3,2.25,3.75,4,0.8520833333333333
4.01.21,4,1,14,NA,NA,5,NA,NA,7,68,57,47,NA,NA,NA,NA,0.35,1.6666666666666667,1.6666666666666667,3.25,2.75,2,3.6666666666666665,3,3.4,4,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4.01.22,4,1,8,17,NA,4,9,NA,3,48,34,20,9.2,8.6,NA,NA,0.3,4,2,3.75,3.75,1.6,3.3333333333333335,2.5,3.8,3.8,3.75,4,2.6666666666666665,3.5,3.75,2.6,3.6666666666666665,3.25,3.6666666666666665,3.75,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5395833333333333
4.06.01,4,6,6,5,15,4,3,2,0,41,30,18,4,2.2,2.8,2.2,0.631578947368421,4,3.3333333333333335,2.5,1.75,4,1.3333333333333333,3.75,4,3.4,4,4,2.3333333333333335,3.5,3.25,4,1.6666666666666667,3,4,3.25,3.75,1.6666666666666667,3.6666666666666665,2,2,2,3.6,1.6666666666666667,2.5,2,3.25,3,3,0.18125
4.06.02,4,6,7,7,10,3,5,8,2,24,29,34,5.6,4.4,8.6,6.8,0.4,3.6666666666666665,3,3.3333333333333335,3.25,1.2,3.3333333333333335,NaN,NaN,NaN,3.5,3,4,2.5,3,2,3.6666666666666665,4,2.6666666666666665,1.5,3.25,1.3333333333333333,3.5,2,3,3.75,1,4,3.25,3.6666666666666665,3.75,3.25,3.6666666666666665,0.7375
4.06.03,4,6,9,6,20,4,7,7,0,35,30,25,8.4,7.2,11,10.6,0.55,4,3.6666666666666665,4,3.5,1.8,3.6666666666666665,NaN,NaN,NaN,3.75,3.5,3.6666666666666665,3,3.5,3,3,3.5,3.3333333333333335,2.5,3.5,3.6666666666666665,3.6666666666666665,3.6666666666666665,3,4,3.6,3,3.5,3,3.75,3.75,4,0.13541666666666666
4.06.04,4,6,25,23,22,NA,4,6,NA,NA,NA,NA,8,5.2,10.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,1.3333333333333333,2,3.5,1,3.6666666666666665,3.5,3.6666666666666665,3.75,4,3.6666666666666665,4,3,2.5,4,1.6,3.6666666666666665,3.25,4,4,4,4,0.8916666666666667
4.06.05,4,6,1,3,3,6,4,9,0,37,28,19,2,1.8,6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1.8,1,3.5,1.3333333333333333,1.5,1.25,1,3.6666666666666665,2.3333333333333335,3.5,2.5,2.6,3,3,3,3.5,3.25,2.6666666666666665,0.5666666666666667
4.06.06,4,6,20,17,22,6,5,10,8,65,62,59,10.6,9.2,13.2,11.8,0.45,3.3333333333333335,2.6666666666666665,3.75,3.25,2.4,3.3333333333333335,3.75,3.8,4,3.75,4,2.6666666666666665,3.5,3.5,2.2,4,3.5,4,2.5,3.75,4,2.3333333333333335,2.3333333333333335,3.5,2,2.6,3.3333333333333335,3,4,3.25,3.5,3.3333333333333335,0.4770833333333333
4.06.07,4,6,21,21,23,10,9,13,7,75,77,80,14.4,12.4,17.6,16.2,0.35,3,3.3333333333333335,3.5,3.5,1.6,4,3,2.8,3,3.75,2.3333333333333335,3.3333333333333335,4,2.5,1.6,4,3,3,3,3.75,3.3333333333333335,3.3333333333333335,3.6666666666666665,4,3,2.2,4,2.75,2.3333333333333335,2.5,3.75,3.3333333333333335,0.575
4.06.08,4,6,19,20,21,1,4,4,5,44,38,32,4.6,4,6.8,5.4,0.7,3.3333333333333335,3,2.25,3.25,2.6,2.6666666666666665,3.75,3.6,1.8,3.5,3.3333333333333335,2.6666666666666665,2.5,2.25,3.2,1.6666666666666667,2.5,2.6666666666666665,3,3,2.6666666666666665,2.3333333333333335,2,2.5,2.75,3.6,2.3333333333333335,2.5,2.3333333333333335,3,2.5,2.6666666666666665,0.4625
4.06.09,4,6,11,22,8,1,7,5,0,30,28,25,5.4,4.2,7.4,7,0.3157894736842105,3.6666666666666665,3,2.5,3,2.6,2.3333333333333335,3.75,3.4,1.8,3.75,3,2.3333333333333335,1.5,2.75,3.4,2,3,2.6666666666666665,2.5,3.5,3,2.3333333333333335,1,1,2.5,3.6,1.3333333333333333,3.25,3.3333333333333335,3.5,2.75,3,0.5104166666666666
4.06.10,4,6,24,21,NA,6,6,NA,3,68,53,37,11.4,10.8,NA,NA,0.2,2.6666666666666665,2,3,3.25,1,2.3333333333333335,3.75,3.2,1.4,3,1,2.3333333333333335,1,2.75,1,3,4,3.6666666666666665,1,1.25,2.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
4.06.11,4,6,2,8,7,4,6,10,0,44,30,15,1.6,0.8,0.2,0.2,0.75,3,4,1.75,3.5,1.25,1.6666666666666667,2.75,3.3333333333333335,2.3333333333333335,1.25,4,3.3333333333333335,2,3.25,3.6,2,3.75,3.6666666666666665,2.5,2,3,4,3.3333333333333335,2,3.25,2.2,3.3333333333333335,3,3.3333333333333335,3.75,3.25,2.3333333333333335,0.48333333333333334
4.06.12,4,6,7,NA,25,4,3,5,4,NA,NA,54,7.8,6.6,10.4,7.8,0.3,2.6666666666666665,2,2,2,2,3,3,3,1.8,3,1,1,1,1,1.4,3,3,1,1.5,1,3,3,3,2.5,3,2,3,3,3.6666666666666665,3,2,3,0.49375
4.06.13,4,6,18,24,7,3,12,13,9,66,65,64,12.4,11.8,13.6,13.2,0.2,3,2.3333333333333335,2,3.75,1.2,3.6666666666666665,4,3.2,2.4,3.5,2.3333333333333335,3.3333333333333335,2.5,3.25,1.8,3.3333333333333335,3.5,2.6666666666666665,1.25,2.5,3,2.3333333333333335,1.3333333333333333,1.5,3.25,1,3.6666666666666665,3.5,3.6666666666666665,2.25,3,3.6666666666666665,0.7270833333333333
4.06.14,4,6,24,25,26,10,14,13,8,80,75,70,11.8,10,15.6,14.4,0.5789473684210527,2,2,3.5,2.5,1.75,3.6666666666666665,3,1.75,2.6666666666666665,2.6666666666666665,1.3333333333333333,2,3.5,2.5,1.6,4,2.5,1.6666666666666667,3.25,3.5,3.3333333333333335,2,1.3333333333333333,3.5,3.25,1.6,3,3.5,2.3333333333333335,2.75,3.5,3.6666666666666665,0.79375
4.06.16,4,6,21,27,25,11,14,13,10,53,47,40,10.2,10,14.6,13.4,0.4,2,2,1.75,3.25,1.8,2.3333333333333335,3.75,3,2.6,2.75,2,2.3333333333333335,3,3.25,2.6,2,4,3,2.5,3,3.3333333333333335,3,2.3333333333333335,3,1.75,2.4,2.3333333333333335,4,3,2.25,3,2.3333333333333335,0.94375
4.06.18,4,6,20,22,22,5,7,2,3,62,49,37,10.4,9.6,12.6,12.2,0.5789473684210527,3,2,2.6666666666666665,3.3333333333333335,1.4,4,4,4,3.25,3.75,2.3333333333333335,2.3333333333333335,1.5,1.75,1,3.6666666666666665,4,3,1.5,2.75,2.6666666666666665,1.3333333333333333,2,1,2.75,1,2.3333333333333335,3.5,2.3333333333333335,3.25,2.75,3.3333333333333335,0.6270833333333333
4.06.19,4,6,8,NA,NA,1,NA,NA,0,17,18,20,NA,NA,NA,NA,0.65,2.6666666666666665,2.3333333333333335,2.5,3.25,3,2.6666666666666665,3,2.75,2.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6583333333333333
4.06.20,4,6,16,22,27,8,11,13,3,80,80,80,17.6,17.4,19,18.8,0.3,3.3333333333333335,4,3,3,2.2,4,3,2.8,3.4,3.5,3,3,3.5,2.75,2.4,4,2.5,1.3333333333333333,3,3,3.3333333333333335,2.6666666666666665,3,3,2.75,1.6666666666666667,4,3,1.3333333333333333,3,3.25,4,0.7208333333333333
4.06.21,4,6,9,11,9,7,5,10,1,41,35,29,7.2,7,9.8,9.2,0.45,4,2.3333333333333335,2,3.75,3.2,4,4,3.4,1.2,2.3333333333333335,1.6666666666666667,1,1,3.25,1,3,4,4,1,1.6666666666666667,2,2.6666666666666665,2.6666666666666665,2,4,1.25,2.6666666666666665,4,3,3.75,3,3.6666666666666665,0.5708333333333333
4.08.01,4,8,5,6,20,4,6,7,5,73,46,20,5.4,4.2,10.4,8.6,0.35,4,1.6666666666666667,1,2.5,2.6,2,3,3,2.2,1.5,3.3333333333333335,2,2,3,3.2,2,2.75,2.6666666666666665,2.5,3.25,2.6666666666666665,3.6666666666666665,2,2,4,3,2.3333333333333335,2.75,3,3,3.5,3,0.6020833333333333
4.08.02,4,8,5,11,12,4,4,4,0,49,38,28,1.6,1,0.8,0.8,0.65,3,3,3,3,3,3.3333333333333335,4,4,4,4,3,3,2,3,2.8,3,3,3,2,2.5,3,3,2.6666666666666665,3,3,1,4,3.6666666666666665,3,2.75,2.5,4,1
4.08.03,4,8,19,19,20,6,6,8,2,49,42,35,10.8,8.6,12.4,10,0.1,2.6666666666666665,1,2.5,3.25,1.2,3.6666666666666665,4,2.6,2.4,3.5,3,3,3,3.5,1.2,3,3.75,2.6666666666666665,3,3.75,4,2,2.3333333333333335,2,4,1.8,3,3,2.6666666666666665,3,3.25,4,0.9444444444444444
4.08.04,4,8,18,27,25,5,5,7,6,53,42,31,9.8,9.6,13.2,13,0.45,2.6666666666666665,2.6666666666666665,2.5,4,1,3.3333333333333335,4,3.4,3.8,4,1.5,1.3333333333333333,3,3.75,1,4,4,3,4,3.5,4,1.6666666666666667,1.6666666666666667,2.5,3.75,1.2,4,4,3.3333333333333335,4,3.75,4,0.7604166666666666
4.08.05,4,8,21,20,21,NA,7,9,NA,66,47,28,10.8,8.6,9.8,8.8,0.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,4,2,3.3333333333333335,2.5,3.6,3,3.25,4,3.6666666666666665,3,3.75,2.6,3.6666666666666665,2.6666666666666665,4,3.5,4,4,3.6666666666666665,3.6666666666666665,3.5,4,4,4,3,4,3.5,4,4,0.5083333333333333
4.08.06,4,8,7,6,17,2,5,6,2,23,23,22,5.6,4.8,10.4,8.8,0.3,4,4,1.5,3.25,2.8,3.3333333333333335,3.5,4,3.6,3.75,4,3.6666666666666665,3,3.75,1,4,2,4,3,3.75,3.3333333333333335,3,3,1,3.25,3,1.3333333333333333,2,2.6666666666666665,3,3.25,2,0.6270833333333333
4.08.07,4,8,7,17,21,4,4,5,1,34,27,20,3.2,2.8,6.8,4.6,0.7,3.3333333333333335,3.6666666666666665,2.75,3.75,3.8,1.3333333333333333,3,3.8,4,3.75,2.3333333333333335,1.3333333333333333,2.5,3.75,3.8,2,1.75,1.6666666666666667,2,3.25,2.3333333333333335,2.3333333333333335,1.3333333333333333,2.5,3.25,3.6,3.6666666666666665,1.75,1.6666666666666667,3.5,3.5,3.6666666666666665,0.8333333333333334
4.08.08,4,8,5,8,NA,2,1,NA,0,17,18,19,0.6,0.6,NA,NA,0.3157894736842105,3.6666666666666665,4,2,2.75,1,3.3333333333333335,4,3,4,4,4,2.3333333333333335,2.5,3.5,1.4,3.3333333333333335,3,2.3333333333333335,4,3.75,3.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7395833333333334
4.08.09,4,8,5,18,21,6,10,7,2,41,54,66,10.8,9.8,11.6,10.4,0.4,4,4,2.5,4,3.8,3.3333333333333335,3.75,4,3.4,3.75,4,3.3333333333333335,3,4,1.75,3,3.5,4,3.5,3.75,4,4,4,3,4,1.8,3,3,4,3,3.5,4,0.7166666666666667
4.12.01,4,12,7,NA,4,6,NA,9,1,68,47,26,NA,NA,10,9,0.65,4,3.3333333333333335,3.25,1.25,1.2,3,NaN,NaN,NaN,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,4,3.5,4,1.6,2.3333333333333335,1.75,2,4,2.5,2.6666666666666665,0.3333333333333333
4.12.02,4,12,4,9,17,3,4,7,3,53,39,25,3,2.8,12.2,12,0.4,3.6666666666666665,2.6666666666666665,3.75,3.25,2.4,4,3.75,3.4,4,3.75,3.3333333333333335,1,3,2.75,2.4,4,3.75,2,3.5,3,3.6666666666666665,3.6666666666666665,3,3.5,2,1.2,4,4,2.6666666666666665,4,3,3.3333333333333335,0.53125
4.12.03,4,12,5,8,11,4,6,5,1,57,39,21,7.8,6.2,13.4,12,0.35,3,4,3,4,1,3.6666666666666665,3.25,2,3.4,3.75,2.6666666666666665,3.6666666666666665,3,3,3,2.6666666666666665,2.5,3.3333333333333335,3.25,2.75,3.3333333333333335,3.6666666666666665,4,3,4,1.4,3.6666666666666665,3,4,3.75,3.25,4,0.525
4.12.04,4,12,8,4,8,7,0,6,0,22,24,26,4.6,3.2,5.4,3.6,0.6,3.6666666666666665,2,3,3,3.4,3,3,3.4,3.6,3.75,2.6666666666666665,2.6666666666666665,2,3.25,3.4,2,2.5,3,2.75,3,3.3333333333333335,3.6666666666666665,2,3,3.5,3,3,3,3.3333333333333335,3.75,3.25,4,0.5875
4.12.05,4,12,18,17,23,1,8,9,5,49,41,32,3.6,2.8,11,10.4,NA,4,2.3333333333333335,3,3.25,NaN,NaN,NaN,NaN,NaN,4,4,3.6666666666666665,4,4,2,NaN,2.5,NaN,NaN,4,NaN,4,2,3.5,3.75,2.6,3,3,3,3,4,3,0.3833333333333333
4.12.06,4,12,9,5,22,4,6,10,7,16,22,28,3.8,3.8,9.8,9.6,0.6,3,3,2.75,3,2.4,3,3,4,3.6,3,4,2,3,4,2.4,2.6666666666666665,3,4,3.25,3,4,3.3333333333333335,3,3.5,3.75,2.2,3,2.5,3.6666666666666665,3.75,3.25,4,0.36666666666666664
4.12.07,4,12,7,12,25,5,5,6,0,67,61,56,11.2,10.4,14.6,13,0.45,2.6666666666666665,2.6666666666666665,3.75,3.5,1,3.3333333333333335,2.5,3.2,3.8,3.75,3.6666666666666665,2.3333333333333335,3.5,3.5,1.8,4,3,3.3333333333333335,4,3.75,3.6666666666666665,2.6666666666666665,2.3333333333333335,4,3.75,1.2,3.6666666666666665,2.75,3,3.75,3.75,4,0.6541666666666667
4.12.08,4,12,5,11,11,7,4,5,0,56,58,60,8,7.2,11.4,10.2,0.5,3.6666666666666665,2,3.5,2.75,2.4,3.6666666666666665,3.5,2.8,3.4,3.75,3.6666666666666665,3.3333333333333335,4,2.75,1.8,4,3.25,3.3333333333333335,4,4,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.5,3.75,2,4,3.5,2.3333333333333335,3.75,3,3.6666666666666665,0
4.12.10,4,12,4,20,24,6,5,9,0,44,35,26,7.6,6.8,10.6,10.2,0.5,3.3333333333333335,2.3333333333333335,2.25,3,1.6,2.6666666666666665,2.75,2.8,3,3,3.6666666666666665,2,2.5,2.25,3,2.3333333333333335,2,3,2.75,3,2.3333333333333335,3.6666666666666665,1.6666666666666667,2,3,3,2.3333333333333335,3.25,3,2.75,3,2.3333333333333335,0.32708333333333334
4.12.11,4,12,21,NA,NA,7,NA,NA,13,73,64,56,NA,NA,NA,NA,0.45,3.3333333333333335,2,3.75,3.25,1.8,3.3333333333333335,4,3.4,3.8,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7208333333333333
4.12.12,4,12,24,25,24,3,7,10,1,52,51,50,5.8,4.8,13.6,12.6,0.5,3.5,3.3333333333333335,2.5,3.75,3,3.3333333333333335,4,3.2,3.6,3.25,4,3.3333333333333335,2.5,3.5,3.6,3,3.25,3,3.25,3,3,4,2.6666666666666665,3,3,2.4,3.6666666666666665,3.75,1.6666666666666667,3.75,2.5,3.6666666666666665,0.675
4.12.13,4,12,6,9,9,3,5,10,0,19,19,18,0.6,0.6,4.8,3.4,0.5263157894736842,4,3.3333333333333335,2.5,3.5,2.25,1,2.75,3.8,3.4,2.75,3.6666666666666665,3,2,2.75,2.8,2.3333333333333335,2.5,3,3,2.25,3,3.3333333333333335,2,3,3.25,2.6,2.6666666666666665,3.25,3.6666666666666665,3,3,3.6666666666666665,0.5770833333333334
4.12.14,4,12,9,NA,NA,2,NA,NA,0,32,42,51,NA,NA,NA,NA,0.3684210526315789,2.6666666666666665,2.3333333333333335,3.25,2.75,2,4,3,3.8,4,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5708333333333333
4.12.15,4,12,10,7,8,5,7,8,4,38,35,31,7.2,6.6,9.8,7.6,0.6,3,3,3.25,2.75,2,2.3333333333333335,3.75,3,3.6,3.75,2,3,3.5,2.5,2.6,3,3.75,3.3333333333333335,3.75,4,3.6666666666666665,2.3333333333333335,2,3,4,3.6,2.3333333333333335,3.5,2.3333333333333335,3.5,3.25,3.3333333333333335,NA
