"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"GermanTexts/A/AB_PLD_1_arg_D_C_3.txt",5,17,"AB",FALSE,"1","arg","D","3"
"GermanTexts/A/AB_PLD_4_arg_D_C_1.txt",5.52941176470588,17,"AB",FALSE,"4","arg","D","1"
"GermanTexts/A/E_PLD_18_arg_D_C_1.txt",3.64705882352941,17,"E",FALSE,"18","arg","D","1"
"GermanTexts/A/E_PLD_1_arg_D_C_3.txt",6.76470588235294,17,"E",FALSE,"1","arg","D","3"
"GermanTexts/A/E_PLD_5_narr_D_C_2.txt",4.82352941176471,17,"E",FALSE,"5","narr","D","2"
"GermanTexts/A/E_PLD_9_arg_D_C_2.txt",6.58823529411765,17,"E",FALSE,"9","arg","D","2"
"GermanTexts/A/E_PLD_9_arg_D_C_3.txt",5.17647058823529,17,"E",FALSE,"9","arg","D","3"
"GermanTexts/A/F_PLD_4_arg_D_C_1.txt",2.94117647058824,17,"F",FALSE,"4","arg","D","1"
"GermanTexts/A/F_PLD_7_arg_D_C_1.txt",4.17647058823529,17,"F",FALSE,"7","arg","D","1"
"GermanTexts/A/F_PLD_8_arg_D_C_2.txt",4.23529411764706,17,"F",FALSE,"8","arg","D","2"
"GermanTexts/A/H_PLD_12_narr_D_C_3.txt",5.41176470588235,17,"H",FALSE,"12","narr","D","3"
"GermanTexts/A/J_PLD_6_narr_D_C_2.txt",3.52941176470588,17,"J",FALSE,"6","narr","D","2"
"GermanTexts/A/J_PLD_7_narr_D_C_2.txt",7.29411764705882,17,"J",FALSE,"7","narr","D","2"
"GermanTexts/A/L_PLD_12_narr_D_C_3.txt",5.94117647058824,17,"L",FALSE,"12","narr","D","3"
"GermanTexts/A/L_PLD_15_narr_D_C_2.txt",3.88235294117647,17,"L",FALSE,"15","narr","D","2"
"GermanTexts/A/L_PLD_3_narr_D_C_1.txt",4.41176470588235,17,"L",FALSE,"3","narr","D","1"
"GermanTexts/A/L_PLD_7_narr_D_C_1.txt",4.64705882352941,17,"L",FALSE,"7","narr","D","1"
"GermanTexts/A/L_PLD_8_arg_D_C_3.txt",5.82352941176471,17,"L",FALSE,"8","arg","D","3"
